"chemical_name","inchi","chebi_identifier","var1_levels","var1_uri","var2_levels","var2_uri","treatment","sample_size","sample_mean","unit","sem"
"pentadecane","InChI=1S/C15H32/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H2,1-2H3","CHEBI:28897","R. chinensis 'Old Blush'","http://purl.obolibrary.org/obo/NCBITaxon_74649","sepals","http://purl.obolibrary.org/obo/PO_0009031","R. chinensis 'Old Blush' sepals","3","0","","0"
"(E,E)-alpha-farnesene","InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9-10,12H,1,7-8,11H2,2-5H3/b14-10+,15-12+","CHEBI:10280","R. chinensis 'Old Blush'","http://purl.obolibrary.org/obo/NCBITaxon_74649","sepals","http://purl.obolibrary.org/obo/PO_0009031","R. chinensis 'Old Blush' sepals","3","0","","0"
"gamma-cadinene","InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h9-10,13-15H,4-8H2,1-3H3/t13-,14-,15-/m1/s1","CHEBI:63203","R. chinensis 'Old Blush'","http://purl.obolibrary.org/obo/NCBITaxon_74649","sepals","http://purl.obolibrary.org/obo/PO_0009031","R. chinensis 'Old Blush' sepals","3","0","","0"
"delta-cadinene","InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h9-10,13,15H,5-8H2,1-4H3","CHEBI:140564","R. chinensis 'Old Blush'","http://purl.obolibrary.org/obo/NCBITaxon_74649","sepals","http://purl.obolibrary.org/obo/PO_0009031","R. chinensis 'Old Blush' sepals","3","0","","0"
"elemol","InChI=1S/C15H26O/c1-7-15(6)9-8-12(14(4,5)16)10-13(15)11(2)3/h7,12-13,16H,1-2,8-10H2,3-6H3/t12-,13+,15-/m1/s1","CHEBI:141221","R. chinensis 'Old Blush'","http://purl.obolibrary.org/obo/NCBITaxon_74649","sepals","http://purl.obolibrary.org/obo/PO_0009031","R. chinensis 'Old Blush' sepals","3","0","","0"
"Germacrene D 4 ol","","","R. chinensis 'Old Blush'","http://purl.obolibrary.org/obo/NCBITaxon_74649","sepals","http://purl.obolibrary.org/obo/PO_0009031","R. chinensis 'Old Blush' sepals","3","0","","0"
"hexadecane","InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3","CHEBI:45296","R. chinensis 'Old Blush'","http://purl.obolibrary.org/obo/NCBITaxon_74649","sepals","http://purl.obolibrary.org/obo/PO_0009031","R. chinensis 'Old Blush' sepals","3","0","","0"
"Tau-cadinol","InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14+,15-/m0/s1","CHEBI:138042","R. chinensis 'Old Blush'","http://purl.obolibrary.org/obo/NCBITaxon_74649","sepals","http://purl.obolibrary.org/obo/PO_0009031","R. chinensis 'Old Blush' sepals","3","0","","0"
"beta-eudesmol","InChI=1S/C15H26O/c1-11-6-5-8-15(4)9-7-12(10-13(11)15)14(2,3)16/h12-13,16H,1,5-10H2,2-4H3/t12-,13+,15-/m1/s1","CHEBI:10417","R. chinensis 'Old Blush'","http://purl.obolibrary.org/obo/NCBITaxon_74649","sepals","http://purl.obolibrary.org/obo/PO_0009031","R. chinensis 'Old Blush' sepals","3","0","","0"
"alpha-cadinol","InChI=1S/C15H26O/c1-10(2)12-7-8-15(4,16)14-6-5-11(3)9-13(12)14/h9-10,12-14,16H,5-8H2,1-4H3/t12-,13-,14+,15+/m0/s1","CHEBI:132905","R. chinensis 'Old Blush'","http://purl.obolibrary.org/obo/NCBITaxon_74649","sepals","http://purl.obolibrary.org/obo/PO_0009031","R. chinensis 'Old Blush' sepals","3","1.0408457099244484","","0.5245748441491555"
